"Rids","Genes"
0,"ENSG00000138778"
0,"ENSG00000161800"
0,"ENSG00000090889"
0,"ENSG00000066279"
0,"ENSG00000112742"
0,"ENSG00000134057"
0,"ENSG00000126787"
0,"ENSG00000117399"
0,"ENSG00000170312"
0,"ENSG00000143228"
0,"ENSG00000122952"
0,"ENSG00000124882"
0,"ENSG00000138160"
0,"ENSG00000088325"
0,"ENSG00000011426"
0,"ENSG00000137804"
0,"ENSG00000152253"
0,"ENSG00000137807"
0,"ENSG00000178999"
0,"ENSG00000175063"
0,"ENSG00000087586"
0,"ENSG00000157456"
0,"ENSG00000145386"
1,"ENSG00000135218"
1,"ENSG00000164047"
1,"ENSG00000148346"
1,"ENSG00000118520"
1,"ENSG00000073756"
1,"ENSG00000132465"
1,"ENSG00000128322"
1,"ENSG00000005381"
1,"ENSG00000012223"
1,"ENSG00000008438"
1,"ENSG00000121742"
1,"ENSG00000134326"
1,"ENSG00000172232"
1,"ENSG00000100448"
1,"ENSG00000124107"
1,"ENSG00000169397"
1,"ENSG00000133063"
1,"ENSG00000138772"
1,"ENSG00000162692"
1,"ENSG00000164821"
1,"ENSG00000008394"
1,"ENSG00000186652"
1,"ENSG00000197561"
1,"ENSG00000163221"
1,"ENSG00000166527"
2,"ENSG00000135218"
2,"ENSG00000124469"
2,"ENSG00000164047"
2,"ENSG00000096006"
2,"ENSG00000148346"
2,"ENSG00000107562"
2,"ENSG00000118520"
2,"ENSG00000137563"
2,"ENSG00000132465"
2,"ENSG00000134827"
2,"ENSG00000128322"
2,"ENSG00000005381"
2,"ENSG00000242550"
2,"ENSG00000100985"
2,"ENSG00000124882"
2,"ENSG00000172232"
2,"ENSG00000148175"
2,"ENSG00000163661"
2,"ENSG00000197561"
2,"ENSG00000229314"
2,"ENSG00000184292"
2,"ENSG00000133048"
2,"ENSG00000105472"
2,"ENSG00000189068"
2,"ENSG00000223609"
2,"ENSG00000160180"
2,"ENSG00000012223"
2,"ENSG00000228278"
2,"ENSG00000086548"
2,"ENSG00000163751"
2,"ENSG00000104267"
2,"ENSG00000100448"
