"Category","Term","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR","Rids"
"GOTERM_BP_FAT","GO:0007067~mitotic nuclear division",23,15.8620689655172,1.47821129296257e-11,143,431,16650,6.21339217626921,4.49818211567532e-08,4.49818211567532e-08,2.66598521037054e-08,0
"GOTERM_BP_FAT","GO:0009617~response to bacterium",25,17.2413793103448,3.3786472130739e-11,143,544,16650,5.35080728095434,1.02812064972646e-07,5.14060338741018e-08,6.09347239333147e-08,1
"GOTERM_CC_FAT","GO:0005615~extracellular space",42,28.9655172413793,5.10097766762636e-11,138,1444,14527,3.06181500662411,1.59150425060872e-08,1.59150425060872e-08,6.85720036308624e-08,2
"GOTERM_BP_FAT","GO:1903047~mitotic cell cycle process",30,20.6896551724138,3.44634683299182e-10,143,890,16650,3.92472695843482,1.04872270278999e-06,3.49574356461879e-07,6.21557949553875e-07,3
"GOTERM_BP_FAT","GO:0000278~mitotic cell cycle",31,21.3793103448276,5.36183310094043e-10,143,968,16650,3.72876090851297,1.63160451205346e-06,4.07901377563746e-07,9.67021174247407e-07,4
"GOTERM_BP_FAT","GO:0051301~cell division",24,16.551724137931,6.2276780752734e-10,143,575,16650,4.85983581635756,1.89508073378253e-06,3.79016434126633e-07,1.12317869449541e-06,5
"GOTERM_BP_FAT","GO:0000819~sister chromatid segregation",16,11.0344827586207,8.10033784232551e-10,143,224,16650,8.31668331668332,2.46492987066027e-06,4.10822067031802e-07,1.46091797548209e-06,6
"GOTERM_BP_FAT","GO:0000280~nuclear division",24,16.551724137931,8.13828291665282e-10,143,583,16650,4.79314853242812,2.47647656725913e-06,3.53782742212871e-07,1.46776149012595e-06,7
"GOTERM_BP_FAT","GO:0042742~defense response to bacterium",17,11.7241379310345,1.03246792738795e-09,143,266,16650,7.44124296755876,3.14179485227939e-06,3.92724896380869e-07,1.8620838537764e-06,8
"GOTERM_BP_FAT","GO:0007052~mitotic spindle organization",9,6.20689655172414,1.40192507110314e-09,143,40,16650,26.1975524475525,4.26604874081971e-06,4.74006314421516e-07,2.52840980374813e-06,9
"GOTERM_BP_FAT","GO:0051707~response to other organism",28,19.3103448275862,1.57069955940127e-09,143,829,16650,3.93261744287076,4.7796273739964e-06,4.77963765455058e-07,2.83279928403601e-06,10
"GOTERM_BP_FAT","GO:0043207~response to external biotic stimulus",28,19.3103448275862,1.57069955940127e-09,143,829,16650,3.93261744287076,4.7796273739964e-06,4.77963765455058e-07,2.83279928403601e-06,11
"GOTERM_BP_FAT","GO:0048285~organelle fission",24,16.551724137931,2.81768746143147e-09,143,622,16650,4.49261349582893,8.57418606259319e-06,7.79474498169286e-07,5.08177563363077e-06,12
"GOTERM_BP_FAT","GO:0009607~response to biotic stimulus",28,19.3103448275862,4.77416588203001e-09,143,873,16650,3.73440991997693,1.45276811593931e-05,1.21064815772343e-06,8.61033735422012e-06,13
