Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007067~mitotic nuclear division	23	15.862068965517242	1.478211292962572E-11	ENSG00000138778, ENSG00000161800, ENSG00000090889, ENSG00000066279, ENSG00000112742, ENSG00000134057, ENSG00000126787, ENSG00000117399, ENSG00000170312, ENSG00000143228, ENSG00000122952, ENSG00000124882, ENSG00000138160, ENSG00000088325, ENSG00000011426, ENSG00000137804, ENSG00000152253, ENSG00000137807, ENSG00000178999, ENSG00000175063, ENSG00000087586, ENSG00000157456, ENSG00000145386	143	431	16650	6.213392176269206	4.49818211567532E-8	4.49818211567532E-8	2.665985210370536E-8
GOTERM_BP_FAT	GO:0009617~response to bacterium	25	17.24137931034483	3.3786472130738965E-11	ENSG00000135218, ENSG00000164047, ENSG00000148346, ENSG00000118520, ENSG00000073756, ENSG00000132465, ENSG00000128322, ENSG00000005381, ENSG00000012223, ENSG00000008438, ENSG00000121742, ENSG00000134326, ENSG00000172232, ENSG00000100448, ENSG00000124107, ENSG00000169397, ENSG00000133063, ENSG00000138772, ENSG00000162692, ENSG00000164821, ENSG00000008394, ENSG00000186652, ENSG00000197561, ENSG00000163221, ENSG00000166527	143	544	16650	5.350807280954339	1.0281206497264606E-7	5.140603387410181E-8	6.093472393331467E-8
GOTERM_CC_FAT	GO:0005615~extracellular space	42	28.965517241379313	5.1009776676263636E-11	ENSG00000135218, ENSG00000124469, ENSG00000164047, ENSG00000096006, ENSG00000148346, ENSG00000107562, ENSG00000118520, ENSG00000137563, ENSG00000132465, ENSG00000134827, ENSG00000128322, ENSG00000005381, ENSG00000242550, ENSG00000100985, ENSG00000124882, ENSG00000172232, ENSG00000148175, ENSG00000163661, ENSG00000197561, ENSG00000229314, ENSG00000184292, ENSG00000133048, ENSG00000105472, ENSG00000189068, ENSG00000223609, ENSG00000160180, ENSG00000012223, ENSG00000228278, ENSG00000086548, ENSG00000163751, ENSG00000104267, ENSG00000100448, ENSG00000102837, ENSG00000124107, ENSG00000169397, ENSG00000133063, ENSG00000196415, ENSG00000162692, ENSG00000164821, ENSG00000118113, ENSG00000072110, ENSG00000122176	138	1444	14527	3.061815006624112	1.5915042506087218E-8	1.5915042506087218E-8	6.857200363086235E-8
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	30	20.689655172413794	3.446346832991819E-10	ENSG00000138778, ENSG00000161800, ENSG00000176890, ENSG00000090889, ENSG00000066279, ENSG00000134057, ENSG00000167513, ENSG00000170312, ENSG00000143228, ENSG00000122952, ENSG00000138160, ENSG00000124882, ENSG00000088325, ENSG00000072571, ENSG00000152253, ENSG00000137804, ENSG00000137807, ENSG00000178999, ENSG00000157456, ENSG00000145386, ENSG00000131747, ENSG00000112742, ENSG00000126787, ENSG00000117399, ENSG00000101003, ENSG00000100526, ENSG00000011426, ENSG00000171848, ENSG00000087586, ENSG00000175063	143	890	16650	3.9247269584348237	1.0487227027899948E-6	3.495743564618792E-7	6.215579495538748E-7
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	31	21.379310344827587	5.361833100940426E-10	ENSG00000138778, ENSG00000161800, ENSG00000176890, ENSG00000090889, ENSG00000066279, ENSG00000134057, ENSG00000167513, ENSG00000170312, ENSG00000143228, ENSG00000122952, ENSG00000138160, ENSG00000124882, ENSG00000088325, ENSG00000072571, ENSG00000129173, ENSG00000152253, ENSG00000137804, ENSG00000137807, ENSG00000178999, ENSG00000157456, ENSG00000145386, ENSG00000131747, ENSG00000112742, ENSG00000126787, ENSG00000117399, ENSG00000101003, ENSG00000100526, ENSG00000011426, ENSG00000171848, ENSG00000087586, ENSG00000175063	143	968	16650	3.7287609085129745	1.631604512053464E-6	4.0790137756374634E-7	9.670211742474066E-7
GOTERM_BP_FAT	GO:0051301~cell division	24	16.551724137931036	6.227678075273399E-10	ENSG00000138778, ENSG00000161800, ENSG00000131747, ENSG00000090889, ENSG00000066279, ENSG00000134057, ENSG00000129682, ENSG00000117399, ENSG00000170312, ENSG00000143228, ENSG00000122952, ENSG00000124882, ENSG00000138160, ENSG00000088325, ENSG00000129173, ENSG00000011426, ENSG00000137804, ENSG00000152253, ENSG00000137807, ENSG00000178999, ENSG00000175063, ENSG00000087586, ENSG00000157456, ENSG00000145386	143	575	16650	4.859835816357556	1.8950807337825282E-6	3.7901643412663333E-7	1.123178694495408E-6
GOTERM_BP_FAT	GO:0000819~sister chromatid segregation	16	11.03448275862069	8.100337842325512E-10	ENSG00000138778, ENSG00000123219, ENSG00000161800, ENSG00000131747, ENSG00000090889, ENSG00000112742, ENSG00000134057, ENSG00000117399, ENSG00000126787, ENSG00000143228, ENSG00000122952, ENSG00000137804, ENSG00000152253, ENSG00000137807, ENSG00000178999, ENSG00000175063	143	224	16650	8.316683316683315	2.4649298706602707E-6	4.108220670318019E-7	1.46091797548209E-6
GOTERM_BP_FAT	GO:0000280~nuclear division	24	16.551724137931036	8.138282916652824E-10	ENSG00000138778, ENSG00000161800, ENSG00000131747, ENSG00000090889, ENSG00000066279, ENSG00000112742, ENSG00000134057, ENSG00000126787, ENSG00000117399, ENSG00000170312, ENSG00000143228, ENSG00000122952, ENSG00000124882, ENSG00000138160, ENSG00000088325, ENSG00000011426, ENSG00000137804, ENSG00000152253, ENSG00000137807, ENSG00000178999, ENSG00000175063, ENSG00000087586, ENSG00000157456, ENSG00000145386	143	583	16650	4.7931485324281216	2.4764765672591338E-6	3.537827422128714E-7	1.4677614901259517E-6
GOTERM_BP_FAT	GO:0042742~defense response to bacterium	17	11.724137931034482	1.0324679273879538E-9	ENSG00000135218, ENSG00000164047, ENSG00000132465, ENSG00000128322, ENSG00000005381, ENSG00000012223, ENSG00000008438, ENSG00000172232, ENSG00000100448, ENSG00000124107, ENSG00000169397, ENSG00000138772, ENSG00000164821, ENSG00000186652, ENSG00000197561, ENSG00000163221, ENSG00000166527	143	266	16650	7.441242967558757	3.1417948522793893E-6	3.927248963808694E-7	1.8620838537763973E-6
GOTERM_BP_FAT	GO:0007052~mitotic spindle organization	9	6.206896551724138	1.4019250711031393E-9	ENSG00000161800, ENSG00000138160, ENSG00000090889, ENSG00000112742, ENSG00000134057, ENSG00000152253, ENSG00000137807, ENSG00000178999, ENSG00000087586	143	40	16650	26.19755244755245	4.266048740819706E-6	4.7400631442151564E-7	2.528409803748133E-6
